Name,year 1998,year 1999,year 2000,year 2001,year 2002,year 2003,year 2004,year 2005,year 2006,year 2007,year 2008,year 2009,year 2010,year 2011,year 2012,year 2013
Oscar,1184,1340,1137,1097,1158,1052,1146,1156,1158,996,1063,1010,1108,957,917,901
Otto,,,,,,99,100,115,116,129,152,149,144,142,171,145
Patrik,169,120,115,104,106,,,,,,,,,,,
Per,72,58,,,,,,,,,,,,,,
Petter,92,84,96,84,,,,,,,,,,,,
Pontus,474,413,372,343,343,326,297,216,204,169,133,,,,,
Rasmus,592,670,622,649,629,663,657,542,487,430,417,418,405,354,290,241
Rickard,200,239,169,139,120,100,,,,,,,,,,
Robert,109,90,94,,,,,,,,,,,,,
Robin,482,420,431,394,423,356,345,328,306,252,215,198,191,167,,
Ruben,,,,,,,,,,,,118,,,,
Sam,,,,,,,,,,,135,141,157,190,195,225
Samuel,484,603,587,520,502,463,403,362,384,324,304,283,244,257,264,250
Sebastian,623,684,671,598,650,609,570,445,475,439,377,362,328,293,261,255
Sigge,,,,,,,,,,123,184,206,190,185,199,230
Simon,1160,1146,1087,890,934,959,881,779,716,589,588,466,453,395,342,333
Sixten,,,,,,,96,129,168,179,259,327,327,369,431,410
Stefan,,63,,,,,,,,,,,,,,
Svante,,,,,,,,,113,129,138,136,153,142,163,157
Tage,,,,,,,,,,,,,,155,140,189
Theo,,58,108,141,189,271,341,395,493,538,551,675,804,565,570,506
Theodor,138,162,135,175,183,258,274,302,289,340,336,397,474,390,375,456
Thomas,92,72,73,,,,,,,,,,,,,
Tim,261,280,289,286,288,310,323,328,312,259,232,220,231,169,147,147
Tobias,478,384,313,273,237,234,200,149,147,,,,,,,
Tom,92,87,72,,,,,,,,,,,,,
Tor,,,,,,,,,,,,,,,,146
Valter,,,,,,,,104,134,147,202,215,275,282,356,384
Vidar,,,,,,,,,117,156,165,173,183,197,207,254
Viggo,,,,,127,273,341,367,492,458,502,541,499,453,394,390
Viktor,993,1072,1101,966,966,1033,978,910,949,892,752,734,741,731,667,638
Vilgot,,,,,,,107,174,198,213,201,201,222,198,218,203
Vilhelm,111,126,121,118,135,154,200,191,205,190,203,229,221,232,250,217
Ville,,,,,89,137,186,256,274,262,314,326,343,358,260,264
William,850,967,1119,992,1013,1236,1255,1139,1113,1166,980,1010,1032,1035,918,915
Wilmer,,,,,,140,213,287,323,478,446,510,458,462,422,385
Vincent,82,107,92,121,128,151,232,229,321,361,485,544,598,610,662,634
